,0
195,1229306.3560058505
196,1226055.949918282
197,1247668.0928588249
198,1251767.1657429184
199,1238012.0068937312
200,1249234.6336621877
201,1243765.3295239436
202,1231524.0320936707
203,1254006.4939730447
204,1236066.3457182085
205,1227255.5400549425
206,1230640.6022161178
207,1208341.8667012693
208,1236044.936426989
209,1195574.086499695
210,1204993.6751825546
211,1206643.3975558856
212,1205400.759859111
213,1232447.2181541435
214,1230739.6158377384
215,1257701.9559224488
216,1261924.5077380978
217,1271546.3684974604
218,1264327.0468301983
219,1270125.3999016704
220,1284040.5108362862
221,1287459.560384163
222,1284964.4108580477
223,1267730.2106856152
224,1259969.1965904115
225,1276884.4239909272
226,1275322.8215847285
227,1277384.9552826532
228,1252913.6871859122
229,1264190.5763993324
230,1273286.242384126
231,1268963.1733588283
232,1251314.9028187525
233,1257226.7106740586
234,1253774.2080976332
235,1239898.6641039592
236,1251744.7400766662
237,1256256.5781284187
238,1262085.5284663208
239,1262058.644925626
240,1253157.2179585705
241,1256388.881094826
242,1236787.2920457004
243,1239914.3760487598
244,1250073.4959729281
245,1253797.1250017313
246,1252907.425448878
247,1258937.7653298047
248,1261485.504765147
249,1260191.4955479968
250,1262705.131952945
251,1254159.0556712956
252,1276193.9800857329
253,1281003.6199207618
254,1281722.774403114
255,1288950.1627305632
256,1285236.547758083
257,1288301.7217015056
258,1279444.5094551095
259,1283164.6713298662
260,1283710.0539016984
261,1269018.29916517
262,1282468.8324762727
263,1271893.607112175
264,1238939.020881604
265,1204165.0336336945
266,1205964.1307381077
267,1200241.4686172775
268,1201649.1623448115
269,1192364.7429804925
270,1179892.981620236
271,1199259.0994089395
272,1215320.927242279
273,1209602.4906833677
274,1174493.4585871068
275,1180281.5756692118
276,1163074.4361778295
277,1180579.014639693
278,1180224.1447112432
279,1191970.2789517343
280,1187528.8972182404
281,1210633.561075152
282,1210100.1458209488
283,1215817.6648061657
284,1218044.727763609
285,1213580.44282137
286,1201618.6733814133
287,1212301.9903692189
288,1206231.8072448943
289,1206197.3053206906
290,1213442.6394905476
291,1219419.2117212266
292,1216465.8371229826
293,1226948.0780648133
294,1245651.8465736052
295,1246658.0323885519
296,1246502.4530696534
297,1248426.947202115
298,1253713.7400846165
299,1255469.8495190104
300,1252554.0139734314
301,1259327.7672901263
302,1264380.537914386
303,1268755.1658365817
304,1265876.181499152
305,1266867.219465248
306,1272676.855865961
307,1265541.5641367051
308,1268299.2172748973
309,1269054.3960923348
310,1278264.619816238
311,1275233.5302765558
312,1272920.1696181123
313,1282443.81287361
314,1292827.2235605156
315,1292392.01551809
316,1286436.5502535424
317,1295554.6007741156
318,1306900.6867159717
319,1310028.0782725422
320,1312751.4659936428
321,1328208.7573681565
322,1332369.6264417418
323,1296914.3858077696
324,1308903.251995805
325,1312020.1197501146
326,1313552.2663067346
327,1314728.7358167123
328,1325189.0772796674
329,1317014.8388476006
330,1291237.810551288
331,1300402.4184187541
332,1318277.9859237508
333,1292624.5348900754
334,1311497.396962418
335,1284191.6856894123
336,1274815.575139817
337,1233207.8746279022
338,1215755.5779228325
339,1261656.1465726905
340,1258471.9715664065
341,1271691.4600088485
342,1257685.3902332475
343,1235768.1135333679
344,1234942.8147971444
345,1217862.810570751
346,1212443.6626620393
347,1169461.0461019222
348,1185679.622255348
349,1171062.979713437
350,1170707.9750013764
351,1157785.6644135597
352,1194860.2896149266
353,1182999.3579071737
354,1166852.7225770408
355,1194427.3661493296
356,1194492.4621482766
357,1158485.2199780832
358,1148952.5180971911
359,1162877.0144922803
360,1154225.5507326464
361,1186573.6534389406
362,1189668.0290950343
363,1185771.8949286342
364,1211723.0129252544
365,1212140.1723365006
366,1215139.4596441025
367,1217717.884488631
368,1218512.9251816042
369,1199247.9694695978
370,1191756.3625477424
371,1173533.8507465774
372,1172125.8714896592
373,1168173.1014301635
374,1140646.7955140127
375,1131689.3026478435
376,1127757.1819158262
377,1123796.5908432887
378,1128161.4496164601
379,1157540.4962392831
380,1171382.3455428195
381,1181407.3535263322
382,1183032.1324355465
383,1197698.9669145918
384,1196233.6758169509
385,1194031.376632446
386,1167651.2878977926
387,1171611.2143699122
388,1184236.8002365725
389,1169216.2477501847
390,1189414.7312730642
391,1198421.9875075943
392,1210831.750902908
393,1211915.0749819784
394,1208631.3520795826
